game_id,game_date,matchup,away_code,home_code,score,status
8alsgvzc90ypwphl,2026-08-01,Los Angeles Queens @ New York Heights,LAQ,NYH,10-8,Final
gnja1cz7onrn3lmt,2026-08-02,TBD @ TBD,TBD,TBD,-,Not Started
qk2oug9ikob2a1hl,2026-08-02,San Francisco Firebells @ Boston Hunters,SFF,BOS,11-3,Final
v7zr9elz0xc5lqbw,2026-08-05,Boston Hunters @ Los Angeles Queens,BOS,LAQ,4-12,Final
tcvtrxvuqrl488nu,2026-08-06,New York Heights @ San Francisco Firebells,NYH,SFF,13-8,Final
qik38y6p8336rqzc,2026-08-07,San Francisco Firebells @ Los Angeles Queens,SFF,LAQ,3-12,Final
dmgjo870o24ty4q8,2026-08-08,Boston Hunters @ New York Heights,BOS,NYH,9-6,Final
8m8qyyfytlcngh7s,2026-08-08,Los Angeles Queens @ San Francisco Firebells,LAQ,SFF,3-10,Final
uqnlzivjhyjg4cj9,2026-08-09,New York Heights @ Boston Hunters,NYH,BOS,7-6,Final - 8 innings
rr37bu1ieptkbzhp,2026-08-12,Los Angeles Queens @ San Francisco Firebells,LAQ,SFF,2-8,Final
oxmfgfm084vlisfi,2026-08-13,Boston Hunters @ New York Heights,BOS,NYH,6-1,Final
7sh6ncqvuaz87451,2026-08-14,Los Angeles Queens @ San Francisco Firebells,LAQ,SFF,3-17,Final
kije6tnlnl71eocg,2026-08-15,San Francisco Firebells @ New York Heights,SFF,NYH,11-6,Final
20f8lv4g5kfttfg1,2026-08-15,Los Angeles Queens @ Boston Hunters,LAQ,BOS,13-3,Final
ppkwakaltuvio20t,2026-08-16,Boston Hunters @ New York Heights,BOS,NYH,9-7,Final - 8 innings
193phvm8rl9cf53w,2026-08-19,New York Heights @ San Francisco Firebells,NYH,SFF,11-8,Final - 6 innings - Weather Delay
dtksss0az7dpa97f,2026-08-20,New York Heights @ Boston Hunters,NYH,BOS,9-4,Final
awbrugq1q63c3uph,2026-08-21,San Francisco Firebells @ Los Angeles Queens,SFF,LAQ,6-8,Final
swof9w8fb4z5n6yz,2026-08-22,San Francisco Firebells @ Boston Hunters,SFF,BOS,12-5,Final
n89hf3ji823n4p07,2026-08-22,New York Heights @ Los Angeles Queens,NYH,LAQ,8-7,Final - 8 innings
19k396na7ad9r561,2026-08-23,Los Angeles Queens @ Boston Hunters,LAQ,BOS,3-7,Final
v4tqgh11vbo55wl3,2026-08-26,Boston Hunters @ Los Angeles Queens,BOS,LAQ,6-8,Final
zpp9h33tj77csmoq,2026-08-27,Los Angeles Queens @ New York Heights,LAQ,NYH,4-12,Final
aqe6d881m2xt0khm,2026-08-28,Boston Hunters @ San Francisco Firebells,BOS,SFF,6-14,Final
mksw641s8uwrx6vp,2026-08-29,New York Heights @ Los Angeles Queens,NYH,LAQ,6-10,Final
pvp728vuqo0l7sh2,2026-08-30,TBD @ TBD,TBD,TBD,-,Not Started
